birth_date:date     ,emp_no:integer,first_name:keyword,gender:keyword,hire_date:date,languages:integer,languages.long:long,languages.short:short,languages.byte:byte,last_name:keyword,salary:integer,height:double,height.float:float,height.scaled_float:scaled_float,height.half_float:half_float,still_hired:boolean,avg_worked_seconds:long,job_positions:keyword,is_rehired:boolean,salary_change:double,salary_change.int:integer,salary_change.long:long,salary_change.keyword:keyword
1957-04-04T00:00:00Z,10054,Mayumi     ,M,1995-03-13T00:00:00Z,4,4,4,4,Schueller   ,65367,1.82,1.82,1.82,1.82,false,297441693,Principal Support Engineer,false,,,,
1956-06-06T00:00:00Z,10055,Georgy     ,M,1992-04-27T00:00:00Z,5,5,5,5,Dredge      ,49281,2.04,2.04,2.04,2.04,false,283157844,Senior Python Developer,false,7.34,7,7,7.34
1961-09-01T00:00:00Z,10056,Brendon    ,F,1990-02-01T00:00:00Z,2,2,2,2,Bernini     ,33370,1.57,1.57,1.57,1.57,true ,349086555,Senior Team Lead,true,10.99,10,10,10.99
1954-05-30T00:00:00Z,10057,Ebbe       ,F,1992-01-15T00:00:00Z,4,4,4,4,Callaway    ,27215,1.59,1.59,1.59,1.59,true ,324356269,Python Developer,,-6.73,-6,-6,-6.73
1954-10-01T00:00:00Z,10058,Berhard    ,M,1987-04-13T00:00:00Z,3,3,3,3,McFarlin    ,38376,1.83,1.83,1.83,1.83,false,268378108,Principal Support Engineer,,-4.89,-4,-4,-4.89
1953-09-19T00:00:00Z,10059,Alejandro  ,F,1991-06-26T00:00:00Z,2,2,2,2,McAlpine    ,44307,1.48,1.48,1.48,1.48,false,237368465,Architect,false,5.53,5,5,5.53
1961-10-15T00:00:00Z,10060,Breannda   ,M,1987-11-02T00:00:00Z,2,2,2,2,Billingsley ,29175,1.42,1.42,1.42,1.42,true ,341158890,Business Analyst,false,-1.76,-1,-1,-1.76
1962-10-19T00:00:00Z,10061,Tse        ,M,1985-09-17T00:00:00Z,1,1,1,1,Herber      ,49095,1.45,1.45,1.45,1.45,false,327550310,Purchase Manager,false,14.39,14,14,14.39
1961-11-02T00:00:00Z,10062,Anoosh     ,M,1991-08-30T00:00:00Z,3,3,3,3,Peyn        ,65030,1.70,1.70,1.70,1.70,false,203989706,Python Developer,false,-1.17,-1,-1,-1.171
1952-08-06T00:00:00Z,10063,Gino       ,F,1989-04-08T00:00:00Z,3,3,3,3,Leonhardt   ,52121,1.78,1.78,1.78,1.78,true ,214068302,,true,,,,
1959-04-07T00:00:00Z,10064,Udi        ,M,1985-11-20T00:00:00Z,5,5,5,5,Jansch      ,33956,1.93,1.93,1.93,1.93,false,307364077,Purchase Manager,false,-8.66,-8,-8,-8.66
1963-04-14T00:00:00Z,10065,Satosi     ,M,1988-05-18T00:00:00Z,2,2,2,2,Awdeh       ,50249,1.59,1.59,1.59,1.59,false,372660279,Business Analyst,false,-1.47,-1,-1,-1.47
1952-11-13T00:00:00Z,10066,Kwee       ,M,1986-02-26T00:00:00Z,5,5,5,5,Schusler    ,31897,2.10,2.10,2.10,2.10,true ,360906451,Senior Python Developer,true,5.94,5,5,5.94
1953-01-07T00:00:00Z,10067,Claudi     ,M,1987-03-04T00:00:00Z,2,2,2,2,Stavenow    ,52044,1.77,1.77,1.77,1.77,true ,347664141,Tech Lead,false,8.72,8,8,8.72
1962-11-26T00:00:00Z,10068,Charlene   ,M,1987-08-07T00:00:00Z,3,3,3,3,Brattka     ,28941,1.58,1.58,1.58,1.58,true ,233999584,Architect,true,3.43,3,3,3.43
1960-09-06T00:00:00Z,10069,Margareta  ,F,1989-11-05T00:00:00Z,5,5,5,5,Bierman     ,41933,1.77,1.77,1.77,1.77,true ,366512352,Business Analyst,false,-3.34,-3,-3,-3.34
1955-08-20T00:00:00Z,10070,Reuven     ,M,1985-10-14T00:00:00Z,3,3,3,3,Garigliano  ,54329,1.77,1.77,1.77,1.77,true ,347188604,,true,-5.90,-5,-5,-5.90
1958-01-21T00:00:00Z,10071,Hisao      ,M,1987-10-01T00:00:00Z,2,2,2,2,Lipner      ,40612,2.07,2.07,2.07,2.07,false,306671693,Business Analyst,false,-2.69,-2,-2,-2.69
1952-05-15T00:00:00Z,10072,Hironoby   ,F,1988-07-21T00:00:00Z,5,5,5,5,Sidou       ,54518,1.82,1.82,1.82,1.82,true ,209506065,Architect,false,11.21,11,11,11.21
1954-02-23T00:00:00Z,10073,Shir       ,M,1991-12-01T00:00:00Z,4,4,4,4,McClurg     ,32568,1.66,1.66,1.66,1.66,false,314930367,Principal Support Engineer,true,-5.67,-5,-5,-5.67
1955-08-28T00:00:00Z,10074,Mokhtar    ,F,1990-08-13T00:00:00Z,5,5,5,5,Bernatsky   ,38992,1.64,1.64,1.64,1.64,true ,382397583,Senior Python Developer,true,6.70,6,6,6.70
1960-03-09T00:00:00Z,10075,Gao        ,F,1987-03-19T00:00:00Z,5,5,5,5,Dolinsky    ,51956,1.94,1.94,1.94,1.94,false,370238919,Purchase Manager,true,9.63,9,9,9.63
1952-06-13T00:00:00Z,10076,Erez       ,F,1985-07-09T00:00:00Z,3,3,3,3,Ritzmann    ,62405,1.83,1.83,1.83,1.83,false,376240317,Architect,false,-6.90,-6,-6,-6.90
1964-04-18T00:00:00Z,10077,Mona       ,M,1990-03-02T00:00:00Z,5,5,5,5,Azuma       ,46595,1.68,1.68,1.68,1.68,false,351960222,Internship,,-0.01,0,0,-0.01
1959-12-25T00:00:00Z,10078,Danel      ,F,1987-05-26T00:00:00Z,2,2,2,2,Mondadori   ,69904,1.81,1.81,1.81,1.81,true ,377116038,Architect,true,-7.88,-7,-7,-7.88
1961-10-05T00:00:00Z,10079,Kshitij    ,F,1986-03-27T00:00:00Z,2,2,2,2,Gils        ,32263,1.59,1.59,1.59,1.59,false,320953330,,false,7.58,7,7,7.58
1957-12-03T00:00:00Z,10080,Premal     ,M,1985-11-19T00:00:00Z,5,5,5,5,Baek        ,52833,1.80,1.80,1.80,1.80,false,239266137,Senior Python Developer,,-4.35,-4,-4,-4.35
1960-12-17T00:00:00Z,10081,Zhongwei   ,M,1986-10-30T00:00:00Z,2,2,2,2,Rosen       ,50128,1.44,1.44,1.44,1.44,true ,321375511,Accountant,false,,,,
1963-09-09T00:00:00Z,10082,Parviz     ,M,1990-01-03T00:00:00Z,4,4,4,4,Lortz       ,49818,1.61,1.61,1.61,1.61,false,232522994,Principal Support Engineer,false,1.19,1,1,1.19
1959-07-23T00:00:00Z,10083,Vishv      ,M,1987-03-31T00:00:00Z,1,1,1,1,Zockler     ,39110,1.42,1.42,1.42,1.42,false,331236443,Head Human Resources,,,,,
1960-05-25T00:00:00Z,10084,Tuval      ,M,1995-12-15T00:00:00Z,1,1,1,1,Kalloufi    ,28035,1.51,1.51,1.51,1.51,true ,359067056,Principal Support Engineer,false,,,,
1962-11-07T00:00:00Z,10085,Kenroku    ,M,1994-04-09T00:00:00Z,5,5,5,5,Malabarba   ,35742,2.01,2.01,2.01,2.01,true ,353404008,Senior Python Developer,,11.67,11,11,11.67
1962-11-19T00:00:00Z,10086,Somnath    ,M,1990-02-16T00:00:00Z,1,1,1,1,Foote       ,68547,1.74,1.74,1.74,1.74,true ,328580163,Senior Python Developer,false,13.61,13,13,13.61
1959-07-23T00:00:00Z,10087,Xinglin    ,F,1986-09-08T00:00:00Z,5,5,5,5,Eugenio     ,32272,1.74,1.74,1.74,1.74,true ,305782871,Junior Developer,false,-2.05,-2,-2,-2.05
1954-02-25T00:00:00Z,10088,Jungsoon   ,F,1988-09-02T00:00:00Z,5,5,5,5,Syrzycki    ,39638,1.91,1.91,1.91,1.91,false,330714423,Reporting Analyst,true,,,,
1963-03-21T00:00:00Z,10089,Sudharsan  ,F,1986-08-12T00:00:00Z,4,4,4,4,Flasterstein,43602,1.57,1.57,1.57,1.57,true ,232951673,Junior Developer,true,,,,
1961-05-30T00:00:00Z,10090,Kendra     ,M,1986-03-14T00:00:00Z,2,2,2,2,Hofting     ,44956,2.03,2.03,2.03,2.03,true ,212460105,,false,7.15,7,7,7.15
1955-10-04T00:00:00Z,10091,Amabile    ,M,1992-11-18T00:00:00Z,3,3,3,3,Gomatam     ,38645,2.09,2.09,2.09,2.09,true ,242582807,Reporting Analyst,true,-9.23,-9,-9,-9.23
1964-10-18T00:00:00Z,10092,Valdiodio  ,F,1989-09-22T00:00:00Z,1,1,1,1,Niizuma     ,25976,1.75,1.75,1.75,1.75,false,313407352,Junior Developer,false,8.78,8,8,8.78
1964-06-11T00:00:00Z,10093,Sailaja    ,M,1996-11-05T00:00:00Z,3,3,3,3,Desikan     ,45656,1.69,1.69,1.69,1.69,false,315904921,Reporting Analyst,,-0.88,0,0,-0.88
1957-05-25T00:00:00Z,10094,Arumugam   ,F,1987-04-18T00:00:00Z,5,5,5,5,Ossenbruggen,66817,2.10,2.10,2.10,2.10,false,332920135,Senior Python Developer,true,2.22,2,2,2.22
1965-01-03T00:00:00Z,10095,Hilari     ,M,1986-07-15T00:00:00Z,4,4,4,4,Morton      ,37702,1.55,1.55,1.55,1.55,false,321850475,,true,-3.93,-3,-3,-3.93
1954-09-16T00:00:00Z,10096,Jayson     ,M,1990-01-14T00:00:00Z,4,4,4,4,Mandell     ,43889,1.94,1.94,1.94,1.94,false,204381503,Architect,false,,,,
1952-02-27T00:00:00Z,10097,Remzi      ,M,1990-09-15T00:00:00Z,3,3,3,3,Waschkowski ,71165,1.53,1.53,1.53,1.53,false,206258084,Reporting Analyst,true,-1.12,-1,-1,-1.12
1961-09-23T00:00:00Z,10098,Sreekrishna,F,1985-05-13T00:00:00Z,4,4,4,4,Servieres   ,44817,2.00,2.00,2.00,2.00,false,272392146,Architect,false,-2.83,-2,-2,-2.83
1956-05-25T00:00:00Z,10099,Valter     ,F,1988-10-18T00:00:00Z,2,2,2,2,Sullins     ,73578,1.81,1.81,1.81,1.81,true ,377713748,,true,10.71,10,10,10.71
1953-04-21T00:00:00Z,10100,Hironobu   ,F,1987-09-21T00:00:00Z,4,4,4,4,Haraldson   ,68431,1.77,1.77,1.77,1.77,true ,223910853,Purchase Manager,false,13.97,13,13,13.97
