"birth_date","emp_no","first_name","gender","hire_date","last_name"
1954-02-25,10088,Jungsoon,F,1988-09-02,Syrzycki
1963-03-21,10089,Sudharsan,F,1986-08-12,Flasterstein
1961-05-30,10090,Kendra,M,1986-03-14,Hofting
1955-10-04,10091,Amabile,M,1992-11-18,Gomatam
1964-10-18,10092,Valdiodio,F,1989-09-22,Niizuma
1964-06-11,10093,Sailaja,M,1996-11-05,Desikan
1957-05-25,10094,Arumugam,F,1987-04-18,Ossenbruggen
1965-01-03,10095,Hilari,M,1986-07-15,Morton
1954-09-16,10096,Jayson,M,1990-01-14,Mandell
1952-02-27,10097,Remzi,M,1990-09-15,Waschkowski
1961-09-23,10098,Sreekrishna,F,1985-05-13,Servieres
1956-05-25,10099,Valter,F,1988-10-18,Sullins
1953-04-21,10100,Hironobu,F,1987-09-21,Haraldson
