birth_date:date     ,emp_no:integer,first_name:keyword,gender:keyword,hire_date:date,languages:integer,languages.long:long,languages.short:short,languages.byte:byte,last_name:keyword,salary:integer,height:double,height.float:float,height.scaled_float:scaled_float,height.half_float:half_float,still_hired:boolean,avg_worked_seconds:long,job_positions:keyword
1962-12-29T00:00:00Z,10034,           ,M,1988-09-21T00:00:00Z,1,1,1,1,Swan        ,39878,1.46,1.46,1.46,1.46,false,214393176,[Business Analyst,Data Scientist,Python Developer,Accountant]
1953-02-08T00:00:00Z,10035,           ,M,1988-09-05T00:00:00Z,5,5,5,5,Chappelet   ,25945,1.81,1.81,1.81,1.81,false,203838153,[Senior Python Developer,Data Scientist]
1959-08-10T00:00:00Z,10036,           ,M,1992-01-03T00:00:00Z,4,4,4,4,Portugali   ,60781,1.61,1.61,1.61,1.61,false,305493131,[Senior Python Developer]
1963-07-22T00:00:00Z,10037,           ,M,1990-12-05T00:00:00Z,2,2,2,2,Makrucki    ,37691,2.00,2.00,2.00,2.00,true ,359217000,[Senior Python Developer,Tech Lead,Accountant]
1960-07-20T00:00:00Z,10038,           ,M,1989-09-20T00:00:00Z,4,4,4,4,Lortz       ,35222,1.53,1.53,1.53,1.53,true ,314036411,[Senior Python Developer,Python Developer,Support Engineer]
1959-10-01T00:00:00Z,10039,           ,M,1988-01-19T00:00:00Z,2,2,2,2,Brender     ,36051,1.55,1.55,1.55,1.55,false,243221262,[Business Analyst,Python Developer,Principal Support Engineer]
                    ,10040,Weiyi      ,F,1993-02-14T00:00:00Z,4,4,4,4,Meriste     ,37112,1.90,1.90,1.90,1.90,false,244478622,[Principal Support Engineer]
                    ,10041,Uri        ,F,1989-11-12T00:00:00Z,1,1,1,1,Lenart      ,56415,1.75,1.75,1.75,1.75,false,287789442,[Data Scientist,Head Human Resources,Internship,Senior Team Lead]
                    ,10042,Magy       ,F,1993-03-21T00:00:00Z,3,3,3,3,Stamatiou   ,30404,1.44,1.44,1.44,1.44,true ,246355863,[Architect,Business Analyst,Junior Developer,Internship]
                    ,10043,Yishay     ,M,1990-10-20T00:00:00Z,1,1,1,1,Tzvieli     ,34341,1.52,1.52,1.52,1.52,true ,287222180,[Data Scientist,Python Developer,Support Engineer]
                    ,10044,Mingsen    ,F,1994-05-21T00:00:00Z,1,1,1,1,Casley      ,39728,2.06,2.06,2.06,2.06,false,387408356,[Tech Lead,Principal Support Engineer,Accountant,Support Engineer]
                    ,10045,Moss       ,M,1989-09-02T00:00:00Z,3,3,3,3,Shanbhogue  ,74970,1.70,1.70,1.70,1.70,false,371418933,[Principal Support Engineer,Junior Developer,Accountant,Purchase Manager]
                    ,10046,Lucien     ,M,1992-06-20T00:00:00Z,4,4,4,4,Rosenbaum   ,50064,1.52,1.52,1.52,1.52,true ,302353405,[Principal Support Engineer,Junior Developer,Head Human Resources,Internship]
                    ,10047,Zvonko     ,M,1989-03-31T00:00:00Z,4,4,4,4,Nyanchama   ,42716,1.52,1.52,1.52,1.52,true ,306369346,[Architect,Data Scientist,Principal Support Engineer,Senior Team Lead]
                    ,10048,Florian    ,M,1985-02-24T00:00:00Z,3,3,3,3,Syrotiuk    ,26436,2.00,2.00,2.00,2.00,false,248451647,[Internship]
                    ,10049,Basil      ,F,1992-05-04T00:00:00Z,5,5,5,5,Tramer      ,37853,1.52,1.52,1.52,1.52,true ,320725709,[Senior Python Developer,Business Analyst]
1958-05-21T00:00:00Z,10050,Yinghua    ,M,1990-12-25T00:00:00Z,2,2,2,2,Dredge      ,43026,1.96,1.96,1.96,1.96,true ,242731798,[Reporting Analyst,Junior Developer,Accountant,Support Engineer]
1953-07-28T00:00:00Z,10051,Hidefumi   ,M,1992-10-15T00:00:00Z,3,3,3,3,Caine       ,58121,1.89,1.89,1.89,1.89,true ,374753122,[Business Analyst,Accountant,Purchase Manager]
1961-02-26T00:00:00Z,10052,Heping     ,M,1988-05-21T00:00:00Z,1,1,1,1,Nitsch      ,55360,1.79,1.79,1.79,1.79,true ,299654717,[]
1954-09-13T00:00:00Z,10053,Sanjiv     ,F,1986-02-04T00:00:00Z,3,3,3,3,Zschoche    ,54462,1.58,1.58,1.58,1.58,false,368103911,[Support Engineer]
1957-04-04T00:00:00Z,10054,Mayumi     ,M,1995-03-13T00:00:00Z,4,4,4,4,Schueller   ,65367,1.82,1.82,1.82,1.82,false,297441693,[Principal Support Engineer]
1956-06-06T00:00:00Z,10055,Georgy     ,M,1992-04-27T00:00:00Z,5,5,5,5,Dredge      ,49281,2.04,2.04,2.04,2.04,false,283157844,[Senior Python Developer,Head Human Resources,Internship,Support Engineer]
1961-09-01T00:00:00Z,10056,Brendon    ,F,1990-02-01T00:00:00Z,2,2,2,2,Bernini     ,33370,1.57,1.57,1.57,1.57,true ,349086555,[Senior Team Lead]
1954-05-30T00:00:00Z,10057,Ebbe       ,F,1992-01-15T00:00:00Z,4,4,4,4,Callaway    ,27215,1.59,1.59,1.59,1.59,true ,324356269,[Python Developer,Head Human Resources]
1954-10-01T00:00:00Z,10058,Berhard    ,M,1987-04-13T00:00:00Z,3,3,3,3,McFarlin    ,38376,1.83,1.83,1.83,1.83,false,268378108,[Principal Support Engineer]
1953-09-19T00:00:00Z,10059,Alejandro  ,F,1991-06-26T00:00:00Z,2,2,2,2,McAlpine    ,44307,1.48,1.48,1.48,1.48,false,237368465,[Architect,Principal Support Engineer,Purchase Manager,Senior Team Lead]
1961-10-15T00:00:00Z,10060,Breannda   ,M,1987-11-02T00:00:00Z,2,2,2,2,Billingsley ,29175,1.42,1.42,1.42,1.42,true ,341158890,[Business Analyst,Data Scientist,Senior Team Lead]
1962-10-19T00:00:00Z,10061,Tse        ,M,1985-09-17T00:00:00Z,1,1,1,1,Herber      ,49095,1.45,1.45,1.45,1.45,false,327550310,[Purchase Manager,Senior Team Lead]
1961-11-02T00:00:00Z,10062,Anoosh     ,M,1991-08-30T00:00:00Z,3,3,3,3,Peyn        ,65030,1.70,1.70,1.70,1.70,false,203989706,[Python Developer,Senior Team Lead]
1952-08-06T00:00:00Z,10063,Gino       ,F,1989-04-08T00:00:00Z,3,3,3,3,Leonhardt   ,52121,1.78,1.78,1.78,1.78,true ,214068302,[]
1959-04-07T00:00:00Z,10064,Udi        ,M,1985-11-20T00:00:00Z,5,5,5,5,Jansch      ,33956,1.93,1.93,1.93,1.93,false,307364077,[Purchase Manager]
1963-04-14T00:00:00Z,10065,Satosi     ,M,1988-05-18T00:00:00Z,2,2,2,2,Awdeh       ,50249,1.59,1.59,1.59,1.59,false,372660279,[Business Analyst,Data Scientist,Principal Support Engineer]
1952-11-13T00:00:00Z,10066,Kwee       ,M,1986-02-26T00:00:00Z,5,5,5,5,Schusler    ,31897,2.10,2.10,2.10,2.10,true ,360906451,[Senior Python Developer,Data Scientist,Accountant,Internship]
1953-01-07T00:00:00Z,10067,Claudi     ,M,1987-03-04T00:00:00Z,2,2,2,2,Stavenow    ,52044,1.77,1.77,1.77,1.77,true ,347664141,[Tech Lead,Principal Support Engineer]
1962-11-26T00:00:00Z,10068,Charlene   ,M,1987-08-07T00:00:00Z,3,3,3,3,Brattka     ,28941,1.58,1.58,1.58,1.58,true ,233999584,[Architect]
1960-09-06T00:00:00Z,10069,Margareta  ,F,1989-11-05T00:00:00Z,5,5,5,5,Bierman     ,41933,1.77,1.77,1.77,1.77,true ,366512352,[Business Analyst,Junior Developer,Purchase Manager,Support Engineer]
1955-08-20T00:00:00Z,10070,Reuven     ,M,1985-10-14T00:00:00Z,3,3,3,3,Garigliano  ,54329,1.77,1.77,1.77,1.77,true ,347188604,[]
1958-01-21T00:00:00Z,10071,Hisao      ,M,1987-10-01T00:00:00Z,2,2,2,2,Lipner      ,40612,2.07,2.07,2.07,2.07,false,306671693,[Business Analyst,Reporting Analyst,Senior Team Lead]
1952-05-15T00:00:00Z,10072,Hironoby   ,F,1988-07-21T00:00:00Z,5,5,5,5,Sidou       ,54518,1.82,1.82,1.82,1.82,true ,209506065,[Architect,Tech Lead,Python Developer,Senior Team Lead]
1954-02-23T00:00:00Z,10073,Shir       ,M,1991-12-01T00:00:00Z,4,4,4,4,McClurg     ,32568,1.66,1.66,1.66,1.66,false,314930367,[Principal Support Engineer,Python Developer,Junior Developer,Purchase Manager]
1955-08-28T00:00:00Z,10074,Mokhtar    ,F,1990-08-13T00:00:00Z,5,5,5,5,Bernatsky   ,38992,1.64,1.64,1.64,1.64,true ,382397583,[Senior Python Developer,Python Developer]
1960-03-09T00:00:00Z,10075,Gao        ,F,1987-03-19T00:00:00Z,5,5,5,5,Dolinsky    ,51956,1.94,1.94,1.94,1.94,false,370238919,[Purchase Manager]
1952-06-13T00:00:00Z,10076,Erez       ,F,1985-07-09T00:00:00Z,3,3,3,3,Ritzmann    ,62405,1.83,1.83,1.83,1.83,false,376240317,[Architect,Senior Python Developer]
1964-04-18T00:00:00Z,10077,Mona       ,M,1990-03-02T00:00:00Z,5,5,5,5,Azuma       ,46595,1.68,1.68,1.68,1.68,false,351960222,[Internship]
1959-12-25T00:00:00Z,10078,Danel      ,F,1987-05-26T00:00:00Z,2,2,2,2,Mondadori   ,69904,1.81,1.81,1.81,1.81,true ,377116038,[Architect,Principal Support Engineer,Internship]
1961-10-05T00:00:00Z,10079,Kshitij    ,F,1986-03-27T00:00:00Z,2,2,2,2,Gils        ,32263,1.59,1.59,1.59,1.59,false,320953330,[]
1957-12-03T00:00:00Z,10080,Premal     ,M,1985-11-19T00:00:00Z,5,5,5,5,Baek        ,52833,1.80,1.80,1.80,1.80,false,239266137,[Senior Python Developer]
1960-12-17T00:00:00Z,10081,Zhongwei   ,M,1986-10-30T00:00:00Z,2,2,2,2,Rosen       ,50128,1.44,1.44,1.44,1.44,true ,321375511,[Accountant,Internship]
1963-09-09T00:00:00Z,10082,Parviz     ,M,1990-01-03T00:00:00Z,4,4,4,4,Lortz       ,49818,1.61,1.61,1.61,1.61,false,232522994,[Principal Support Engineer]
1959-07-23T00:00:00Z,10083,Vishv      ,M,1987-03-31T00:00:00Z,1,1,1,1,Zockler     ,39110,1.42,1.42,1.42,1.42,false,331236443,[Head Human Resources]
1960-05-25T00:00:00Z,10084,Tuval      ,M,1995-12-15T00:00:00Z,1,1,1,1,Kalloufi    ,28035,1.51,1.51,1.51,1.51,true ,359067056,[Principal Support Engineer]
1962-11-07T00:00:00Z,10085,Kenroku    ,M,1994-04-09T00:00:00Z,5,5,5,5,Malabarba   ,35742,2.01,2.01,2.01,2.01,true ,353404008,[Senior Python Developer,Business Analyst,Tech Lead,Accountant]
1962-11-19T00:00:00Z,10086,Somnath    ,M,1990-02-16T00:00:00Z,1,1,1,1,Foote       ,68547,1.74,1.74,1.74,1.74,true ,328580163,[Senior Python Developer]
1959-07-23T00:00:00Z,10087,Xinglin    ,F,1986-09-08T00:00:00Z,5,5,5,5,Eugenio     ,32272,1.74,1.74,1.74,1.74,true ,305782871,[Junior Developer,Internship]
1954-02-25T00:00:00Z,10088,Jungsoon   ,F,1988-09-02T00:00:00Z,5,5,5,5,Syrzycki    ,39638,1.91,1.91,1.91,1.91,false,330714423,[Reporting Analyst,Business Analyst,Tech Lead]
1963-03-21T00:00:00Z,10089,Sudharsan  ,F,1986-08-12T00:00:00Z,4,4,4,4,Flasterstein,43602,1.57,1.57,1.57,1.57,true ,232951673,[Junior Developer,Accountant]
1961-05-30T00:00:00Z,10090,Kendra     ,M,1986-03-14T00:00:00Z,2,2,2,2,Hofting     ,44956,2.03,2.03,2.03,2.03,true ,212460105,[]
1955-10-04T00:00:00Z,10091,Amabile    ,M,1992-11-18T00:00:00Z,3,3,3,3,Gomatam     ,38645,2.09,2.09,2.09,2.09,true ,242582807,[Reporting Analyst,Python Developer]
1964-10-18T00:00:00Z,10092,Valdiodio  ,F,1989-09-22T00:00:00Z,1,1,1,1,Niizuma     ,25976,1.75,1.75,1.75,1.75,false,313407352,[Junior Developer,Accountant]
1964-06-11T00:00:00Z,10093,Sailaja    ,M,1996-11-05T00:00:00Z,3,3,3,3,Desikan     ,45656,1.69,1.69,1.69,1.69,false,315904921,[Reporting Analyst,Tech Lead,Principal Support Engineer,Purchase Manager]
1957-05-25T00:00:00Z,10094,Arumugam   ,F,1987-04-18T00:00:00Z,5,5,5,5,Ossenbruggen,66817,2.10,2.10,2.10,2.10,false,332920135,[Senior Python Developer,Principal Support Engineer,Accountant]
1965-01-03T00:00:00Z,10095,Hilari     ,M,1986-07-15T00:00:00Z,4,4,4,4,Morton      ,37702,1.55,1.55,1.55,1.55,false,321850475,[]
1954-09-16T00:00:00Z,10096,Jayson     ,M,1990-01-14T00:00:00Z,4,4,4,4,Mandell     ,43889,1.94,1.94,1.94,1.94,false,204381503,[Architect,Reporting Analyst]
1952-02-27T00:00:00Z,10097,Remzi      ,M,1990-09-15T00:00:00Z,3,3,3,3,Waschkowski ,71165,1.53,1.53,1.53,1.53,false,206258084,[Reporting Analyst,Tech Lead]
1961-09-23T00:00:00Z,10098,Sreekrishna,F,1985-05-13T00:00:00Z,4,4,4,4,Servieres   ,44817,2.00,2.00,2.00,2.00,false,272392146,[Architect,Internship,Senior Team Lead]
1956-05-25T00:00:00Z,10099,Valter     ,F,1988-10-18T00:00:00Z,2,2,2,2,Sullins     ,73578,1.81,1.81,1.81,1.81,true ,377713748,[]
1953-04-21T00:00:00Z,10100,Hironobu   ,F,1987-09-21T00:00:00Z,4,4,4,4,Haraldson   ,68431,1.77,1.77,1.77,1.77,true ,223910853,[Purchase Manager]

